(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(2)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(3)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(7)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(8)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(11)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(12)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(15)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(21)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(24)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(25)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(29)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(32)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(34)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(43)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(44)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(45)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(52)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(53)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(62)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(66)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(73)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(76)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(85)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(96)), {C=0.0009220366765700236, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(98)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(107)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(120)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(122)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(125)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(126)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(131)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(132)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(134)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(138)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(148)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(153)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(155)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(158)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(160)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(161)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(163)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(175)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(176)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(177)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(187)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(188)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(198)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(200)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(204)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(205)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(216)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(222)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(225)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(231)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(234)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(240)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(241)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(242)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(247)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(248)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(252)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(254)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(255)), {C=0.0007171396373322405, S=0.0006808676198813345}
