(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(12)), {C=0.0005324813631522897, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(126)), {C=0.0006389776357827475, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(500)), {C=0.0005324813631522897, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(593)), {C=0.0005324813631522897, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(673)), {C=0.0005324813631522897, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(681)), {C=0.0005324813631522897, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(687)), {C=0.0005324813631522897, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(733)), {C=0.0005324813631522897, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(736)), {C=0.0005324813631522897, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(805)), {C=0.0005324813631522897, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(996)), {C=0.0006389776357827475, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1084)), {C=0.0005324813631522897, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1136)), {C=0.0005324813631522897, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1236)), {C=0.0005324813631522897, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1406)), {C=0.0006389776357827475, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1417)), {C=0.0006389776357827475, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1432)), {C=0.0005324813631522897, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1446)), {C=0.0007454739084132055, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1491)), {C=0.0005324813631522897, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(12)), {C=0.0005324813631522897, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(126)), {C=0.0006389776357827475, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(500)), {C=0.0005324813631522897, S=0.00048633401420095323}
