(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(9)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(11)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(12)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(17)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(27)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(29)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(30)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(45)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(57)), {C=0.0007296987386636088, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(60)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(68)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(74)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(76)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(77)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(82)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(84)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(86)), {C=0.0006254560617116647, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(90)), {C=0.000833941415615553, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(95)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(100)), {C=0.0005212133847597206, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(112)), {C=0.000833941415615553, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(115)), {C=0.0006254560617116647, S=0.0005836008170411438}
