(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(129)), {C=0.000513294322964788, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(181)), {C=0.000513294322964788, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(194)), {C=0.0006159531875577455, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(266)), {C=0.000513294322964788, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(285)), {C=0.0006159531875577455, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(292)), {C=0.000513294322964788, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(443)), {C=0.000513294322964788, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(465)), {C=0.000513294322964788, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(477)), {C=0.0007186120521507031, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(585)), {C=0.000513294322964788, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(610)), {C=0.000513294322964788, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(752)), {C=0.000513294322964788, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(914)), {C=0.000513294322964788, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1134)), {C=0.000513294322964788, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1144)), {C=0.0006159531875577455, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1216)), {C=0.000513294322964788, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1353)), {C=0.0006159531875577455, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1365)), {C=0.000513294322964788, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1443)), {C=0.000513294322964788, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1523)), {C=0.000513294322964788, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial College))(marital_status(S)) --> (buy(1534)), {C=0.000513294322964788, S=0.00048633401420095323}
