(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(6)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(7)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(11)), {C=0.0010298661174047376, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(13)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(14)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(19)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(23)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(24)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(28)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(30)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(35)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(37)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(39)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(40)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(43)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(44)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(45)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(48)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(53)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(58)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(62)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(65)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(66)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(67)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(76)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(81)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(84)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(86)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(88)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(89)), {C=0.0007209062821833161, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(90)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(96)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(102)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(106)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(109)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(110)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(127)), {C=0.0006179196704428424, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(129)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(132)), {C=0.00082389289392379, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(144)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(146)), {C=0.0009268795056642637, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(149)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(152)), {C=0.0005149330587023688, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(member card(Bronze))(marital_status(S)) --> (buy(153)), {C=0.0007209062821833161, S=0.0006808676198813345}
