(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(86)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(142)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(149)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(162)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(186)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(211)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(225)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(278)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(283)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(321)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(339)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(386)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(388)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(455)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(475)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(506)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(539)), {C=0.0006167129201356768, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(547)), {C=0.0006167129201356768, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(579)), {C=0.0006167129201356768, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(629)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(638)), {C=0.0008222838935142358, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(662)), {C=0.0005139274334463974, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(house_owner(Y))(marital_status(S)) --> (buy(755)), {C=0.0005139274334463974, S=0.00048633401420095323}
