(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(2)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(22)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(38)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(39)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(47)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(52)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(72)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(74)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(80)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(85)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(105)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(106)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(108)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(113)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(119)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(138)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(139)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(141)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(147)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(170)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(179)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(201)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(205)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(211)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(216)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(224)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(230)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(264)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(269)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(304)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(328)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(334)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(335)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(337)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(360)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(361)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(363)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(370)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(374)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(396)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(397)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(398)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(399)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(404)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(407)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(412)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(428)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(431)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(434)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(437)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(440)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(446)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(447)), {C=0.0010301844030081385, S=0.0009726680284019065}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(455)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(463)), {C=0.0008241475224065109, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(473)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(476)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(481)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(490)), {C=0.0007211290821056968, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(495)), {C=0.0006181106418048831, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(496)), {C=0.0005150922015040693, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(M)) --> (buy(500)), {C=0.0005150922015040693, S=0.00048633401420095323}
