(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(67)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(89)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(132)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(150)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(252)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(340)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(349)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(372)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(384)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(426)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(439)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(466)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(492)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(551)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(663)), {C=0.0006093226363359399, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(703)), {C=0.0005077688636132832, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(N))(marital_status(S)) --> (buy(793)), {C=0.0005077688636132832, S=0.00048633401420095323}
