(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(109)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(128)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(195)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(233)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(255)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(278)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(289)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0008027292795504716, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(340)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(348)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(353)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(361)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(368)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(383)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(389)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(390)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(393)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(413)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(442)), {C=0.0007023881196066625, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0007023881196066625, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(478)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(480)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(483)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(489)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(497)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(511)), {C=0.0007023881196066625, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(541)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.0008027292795504716, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(551)), {C=0.0006020469596628536, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(555)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(559)), {C=0.0007023881196066625, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.0005017057997190448, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0007023881196066625, S=0.0006808676198813345}
