(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(11)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(43)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(83)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(126)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(188)), {C=0.0007378517971961631, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(204)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(277)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(385)), {C=0.0006324443975967112, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(396)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(447)), {C=0.0006324443975967112, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(454)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(455)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(490)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(575)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(606)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(630)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(647)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(731)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(839)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(921)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(960)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(1018)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(1024)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(1047)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(1127)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(1247)), {C=0.0006324443975967112, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(1311)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(1336)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(1361)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(1387)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(1398)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(1436)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(1454)), {C=0.0005270369979972594, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(High School Degree))(marital_status(M)) --> (buy(1556)), {C=0.0005270369979972594, S=0.00048633401420095323}
