(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(41)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(85)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(178)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(181)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(281)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(362)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(382)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(384)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(386)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(403)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(431)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(501)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(505)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(532)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(542)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(560)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(606)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(611)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(733)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(779)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(820)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(914)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(948)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(984)), {C=0.0007243377483443708, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1083)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1162)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1222)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1437)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N)) --> (buy(1471)), {C=0.0005173841059602649, S=0.00048633401420095323}
