(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(50)), {C=0.0006139489194499018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(333)), {C=0.0006139489194499018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(413)), {C=0.0006139489194499018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(423)), {C=0.0006139489194499018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(427)), {C=0.0006139489194499018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(446)), {C=0.0006139489194499018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(466)), {C=0.0006139489194499018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(572)), {C=0.0009823182711198428, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(632)), {C=0.0006139489194499018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(633)), {C=0.0006139489194499018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(643)), {C=0.0006139489194499018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(646)), {C=0.0006139489194499018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(969)), {C=0.0008595284872298624, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(996)), {C=0.0006139489194499018, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(998)), {C=0.000736738703339882, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(1289)), {C=0.000736738703339882, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(1381)), {C=0.0009823182711198428, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(1460)), {C=0.000736738703339882, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(Partial High School)) --> (buy(1521)), {C=0.0006139489194499018, S=0.00048633401420095323}
