(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(66)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(108)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(112)), {C=0.0008653014133256417, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(115)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(194)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(267)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(328)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(331)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(337)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(358)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(455)), {C=0.001009518315546582, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(503)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(537)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(539)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(565)), {C=0.0008653014133256417, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(615)), {C=0.0007210845111047015, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(645)), {C=0.0007210845111047015, S=0.00048633401420095323}
