(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(5)), {C=0.0005260942760942762, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(38)), {C=0.0005260942760942762, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(158)), {C=0.0007365319865319865, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(221)), {C=0.0005260942760942762, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(262)), {C=0.0005260942760942762, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(284)), {C=0.0005260942760942762, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(313)), {C=0.0005260942760942762, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(345)), {C=0.0005260942760942762, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(368)), {C=0.0005260942760942762, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(410)), {C=0.0005260942760942762, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(424)), {C=0.0005260942760942762, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(463)), {C=0.0005260942760942762, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(477)), {C=0.0005260942760942762, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(529)), {C=0.0007365319865319865, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(585)), {C=0.0006313131313131313, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(628)), {C=0.0005260942760942762, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(629)), {C=0.0005260942760942762, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(648)), {C=0.0005260942760942762, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(660)), {C=0.0006313131313131313, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(684)), {C=0.0007365319865319865, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(marital_status(M)) --> (buy(778)), {C=0.0005260942760942762, S=0.00048633401420095323}
