(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(52)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(58)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(85)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(122)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(138)), {C=0.0006088897909478384, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(160)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(241)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(267)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(315)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(331)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(350)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(352)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(368)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(414)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(422)), {C=0.0006088897909478384, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(455)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(460)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(465)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(475)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(484)), {C=0.0006088897909478384, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(501)), {C=0.0006088897909478384, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(505)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(529)), {C=0.0006088897909478384, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(564)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(577)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(587)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.0007103714227724782, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(636)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(660)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(684)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(692)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(693)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(774)), {C=0.0006088897909478384, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(801)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(803)), {C=0.0006088897909478384, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(831)), {C=0.0006088897909478384, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(890)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(905)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(918)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(920)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(931)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(953)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(976)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(990)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1011)), {C=0.0006088897909478384, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1063)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1140)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1183)), {C=0.0006088897909478384, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1193)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1211)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1229)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1257)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1266)), {C=0.0006088897909478384, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1342)), {C=0.0006088897909478384, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1353)), {C=0.0007103714227724782, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1362)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1367)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1388)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1402)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1409)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1415)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1423)), {C=0.0007103714227724782, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1434)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1452)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1463)), {C=0.0006088897909478384, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1474)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1499)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1506)), {C=0.0005074081591231987, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(Y))(marital_status(M)) --> (buy(1538)), {C=0.0006088897909478384, S=0.0005836008170411438}
