(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(43)), {C=0.0006113715100876299, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(228)), {C=0.0005094762584063583, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(506)), {C=0.0005094762584063583, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(553)), {C=0.0006113715100876299, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(593)), {C=0.0006113715100876299, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(782)), {C=0.0005094762584063583, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(786)), {C=0.0005094762584063583, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(827)), {C=0.0006113715100876299, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(948)), {C=0.0005094762584063583, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(1085)), {C=0.0005094762584063583, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y))(marital_status(S)) --> (buy(1332)), {C=0.0005094762584063583, S=0.00048633401420095323}
