(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(6)), {C=0.0008115236356258876, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(8)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(12)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(13)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(25)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(31)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(34)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(37)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(42)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(43)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(54)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(70)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(71)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(72)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(87)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(89)), {C=0.0007100831811726516, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(91)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(96)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(102)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(112)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(118)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(126)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(133)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(137)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(138)), {C=0.0006086427267194156, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(147)), {C=0.0005072022722661798, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(148)), {C=0.0005072022722661798, S=0.00048633401420095323}
