(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(108)), {C=0.0007296607077708864, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(133)), {C=0.0006080505898090721, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(260)), {C=0.0006080505898090721, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(368)), {C=0.0007296607077708864, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0008512708257327009, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(456)), {C=0.0006080505898090721, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(576)), {C=0.0006080505898090721, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0006080505898090721, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(589)), {C=0.0006080505898090721, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(642)), {C=0.0007296607077708864, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(712)), {C=0.0007296607077708864, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(S)) --> (buy(822)), {C=0.0007296607077708864, S=0.0005836008170411438}
