(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0006888633754305396, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(30)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(54)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(157)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(162)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(176)), {C=0.0006888633754305396, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(220)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(244)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(286)), {C=0.0008036739380022961, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(323)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(399)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(468)), {C=0.0006888633754305396, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(520)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(552)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(553)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(603)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(605)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(639)), {C=0.0006888633754305396, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(688)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(803)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(827)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(832)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(843)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(871)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(886)), {C=0.0006888633754305396, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(897)), {C=0.0008036739380022961, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(952)), {C=0.0006888633754305396, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1012)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1069)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1120)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1121)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1128)), {C=0.0006888633754305396, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1145)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1209)), {C=0.000574052812858783, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1258)), {C=0.000574052812858783, S=0.00048633401420095323}
