(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(4)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(21)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(27)), {C=0.0009010168618869867, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(30)), {C=0.0010297335564422706, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(36)), {C=0.0010297335564422706, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(39)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(42)), {C=0.0010297335564422706, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(43)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(50)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(56)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(57)), {C=0.0007723001673317029, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(60)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(61)), {C=0.0006435834727764191, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(66)), {C=0.0006435834727764191, S=0.00048633401420095323}
