(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(133)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(347)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(368)), {C=0.0006328446366417044, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(712)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(825)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(826)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(877)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(1061)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(1198)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(1207)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(133)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(347)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(368)), {C=0.0006328446366417044, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(712)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(825)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(826)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(877)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(1061)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(1198)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(1207)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(133)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(347)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(368)), {C=0.0006328446366417044, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(712)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(825)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(826)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(877)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(1061)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(1198)), {C=0.0005273705305347537, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N)) --> (buy(1207)), {C=0.0005273705305347537, S=0.00048633401420095323}
