(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(6)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(8)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(11)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(12)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(18)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(19)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(21)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(25)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(26)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(28)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(35)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(36)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(40)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(64)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(68)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(75)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(76)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(77)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(78)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(81)), {C=0.0008558895902428588, S=0.0007781344227215252}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(85)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(89)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(90)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(97)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(98)), {C=0.000641917192682144, S=0.0005836008170411438}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(100)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(109)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(118)), {C=0.0005349309939017867, S=0.00048633401420095323}
(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(119)), {C=0.0005349309939017867, S=0.00048633401420095323}
