(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(6)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(7)), {C=0.0010664391596459423, S=0.0009726680284019065}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(8)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(11)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(16)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(20)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(25)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(26)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(30)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(31)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(32)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(34)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(36)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(37)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(39)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(42)), {C=0.0008531513277167538, S=0.0007781344227215252}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(43)), {C=0.0007465074117521595, S=0.0006808676198813345}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(44)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(45)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(46)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(53)), {C=0.0006398634957875653, S=0.0005836008170411438}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(54)), {C=0.0005332195798229711, S=0.00048633401420095323}
(education(Partial High School))(house_owner(Y))(marital_status(S)) --> (buy(57)), {C=0.0005332195798229711, S=0.00048633401420095323}
