(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(18)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(41)), {C=0.0009018294254058231, S=0.0006808676198813345}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(63)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(65)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(153)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(163)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(191)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(201)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(285)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(288)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(305)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0011594949755217728, S=0.0008754012255617158}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(337)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(369)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(371)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(372)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(374)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(407)), {C=0.0009018294254058231, S=0.0006808676198813345}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(413)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(417)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(429)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(436)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(501)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(551)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(590)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(627)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(659)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(660)), {C=0.0009018294254058231, S=0.0006808676198813345}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(683)), {C=0.0007729966503478484, S=0.0005836008170411438}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(686)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(695)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(794)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(827)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(832)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(840)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(849)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(868)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(900)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(910)), {C=0.0009018294254058231, S=0.0006808676198813345}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(915)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(916)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(918)), {C=0.0006441638752898738, S=0.00048633401420095323}
(education(Partial College))(house_owner(Y))(marital_status(M)) --> (buy(926)), {C=0.0006441638752898738, S=0.00048633401420095323}
