(member card(Bronze))(education(Partial College)) --> (buy(4)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(9)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(17)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(20)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(26)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(30)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(37)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(40)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(43)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(44)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(47)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(50)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(53)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(58)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(62)), {C=0.001165307141668054, S=0.0006808676198813345}
(member card(Bronze))(education(Partial College)) --> (buy(65)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(69)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(76)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(78)), {C=0.000998834692858332, S=0.0005836008170411438}
(member card(Bronze))(education(Partial College)) --> (buy(79)), {C=0.0008323622440486101, S=0.00048633401420095323}
(member card(Bronze))(education(Partial College)) --> (buy(81)), {C=0.0008323622440486101, S=0.00048633401420095323}
