(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(2)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(4)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(52)), {C=0.0006212466349140608, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(58)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(121)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(125)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(138)), {C=0.000724787740733071, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(161)), {C=0.0006212466349140608, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(174)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(192)), {C=0.0006212466349140608, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(214)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(241)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(248)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(254)), {C=0.0006212466349140608, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(267)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(287)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(350)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(352)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(357)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(410)), {C=0.0006212466349140608, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(413)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(422)), {C=0.0006212466349140608, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(450)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(465)), {C=0.0006212466349140608, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(473)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(484)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(505)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(524)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(529)), {C=0.0006212466349140608, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(564)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(612)), {C=0.0005177055290950508, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(629)), {C=0.000724787740733071, S=0.0006808676198813345}
(gender(Female))(yearly_salary($30K - $50K))(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(636)), {C=0.0005177055290950508, S=0.00048633401420095323}
