(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(4)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(6)), {C=0.0009830693610049155, S=0.0008754012255617158}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(9)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(11)), {C=0.0016384489350081922, S=0.0014590020426028597}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(12)), {C=0.0009830693610049155, S=0.0008754012255617158}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(13)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(14)), {C=0.0009830693610049155, S=0.0008754012255617158}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(15)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(17)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(18)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(22)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(23)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(25)), {C=0.000764609503003823, S=0.0006808676198813345}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(26)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(27)), {C=0.0005461496450027308, S=0.00048633401420095323}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(28)), {C=0.0006553795740032769, S=0.0005836008170411438}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(30)), {C=0.0008738394320043693, S=0.0007781344227215252}
(country(USA))(yearly_salary($10K - $30K))(marital_status(M)) --> (buy(31)), {C=0.0005461496450027308, S=0.00048633401420095323}
