(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(85)), {C=0.0005643977875606727, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(115)), {C=0.0005643977875606727, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(180)), {C=0.0005643977875606727, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(281)), {C=0.0005643977875606727, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(283)), {C=0.0005643977875606727, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(370)), {C=0.0005643977875606727, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(409)), {C=0.0006772773450728072, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(433)), {C=0.0005643977875606727, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(439)), {C=0.0005643977875606727, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(528)), {C=0.0005643977875606727, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(546)), {C=0.0006772773450728072, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(569)), {C=0.0005643977875606727, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(704)), {C=0.0005643977875606727, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(783)), {C=0.0006772773450728072, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(819)), {C=0.0005643977875606727, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(842)), {C=0.0005643977875606727, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(948)), {C=0.0005643977875606727, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(1000)), {C=0.0006772773450728072, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(1111)), {C=0.0006772773450728072, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(1340)), {C=0.0007901569025849418, S=0.0006808676198813345}
(country(USA))(yearly_salary($90K - $110K))(marital_status(S)) --> (buy(1430)), {C=0.0005643977875606727, S=0.00048633401420095323}
