(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(5)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(7)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(10)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(19)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(21)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(25)), {C=0.0007771733096480515, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(28)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(29)), {C=0.0007771733096480515, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(33)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(39)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(40)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(42)), {C=0.0007771733096480515, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(43)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(45)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(48)), {C=0.0007771733096480515, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(52)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(53)), {C=0.0008881980681692018, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(55)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(59)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(62)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(71)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(72)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(77)), {C=0.0007771733096480515, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(78)), {C=0.0008881980681692018, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(80)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(85)), {C=0.000999222826690352, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(88)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(91)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(92)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(95)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(96)), {C=0.0007771733096480515, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(106)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(110)), {C=0.0007771733096480515, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(119)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(125)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(127)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(130)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(132)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(133)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(141)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(148)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(150)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(153)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(154)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(165)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(168)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(169)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(178)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(182)), {C=0.0007771733096480515, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(185)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(189)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(196)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(197)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(198)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(205)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(207)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(215)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(218)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(219)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(221)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(226)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(230)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(233)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(234)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(237)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(247)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(248)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(250)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(254)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(258)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(261)), {C=0.0011102475852115023, S=0.0009726680284019065}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(262)), {C=0.0007771733096480515, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(265)), {C=0.000999222826690352, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(278)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(297)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(314)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(330)), {C=0.0007771733096480515, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(332)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(334)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(344)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(345)), {C=0.0007771733096480515, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(347)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(351)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(360)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(361)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(362)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(364)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(370)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(371)), {C=0.0008881980681692018, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(379)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(382)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(384)), {C=0.0007771733096480515, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(386)), {C=0.0007771733096480515, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(387)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(401)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(402)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(403)), {C=0.0007771733096480515, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(404)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(405)), {C=0.0005551237926057511, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(408)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(410)), {C=0.000999222826690352, S=0.0008754012255617158}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(411)), {C=0.0006661485511269013, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(marital_status(M)) --> (buy(413)), {C=0.0005551237926057511, S=0.00048633401420095323}
