(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(226)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(269)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(350)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(673)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(972)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1029)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(226)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(269)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(350)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(673)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(972)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1029)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(226)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(269)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(350)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(673)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(972)), {C=0.0005698005698005698, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(education(Bachelors Degree))(marital_status(M)) --> (buy(1029)), {C=0.0005698005698005698, S=0.00048633401420095323}
