(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(384)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(431)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(593)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(622)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(870)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(889)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(912)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(1239)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(1295)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(384)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(431)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(593)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(622)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(870)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(889)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(912)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(1239)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(1295)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(384)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(431)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(593)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(622)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(870)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(889)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(912)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(1239)), {C=0.0006099048548426446, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Silver)) --> (buy(1295)), {C=0.0006099048548426446, S=0.00048633401420095323}
