(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(11)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(24)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(39)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(47)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(62)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(76)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(88)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(115)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(132)), {C=0.0006200268678309392, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(139)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(177)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(188)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(229)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(240)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(277)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(307)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(310)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(335)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(349)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(355)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(372)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(407)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(434)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(437)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(447)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(451)), {C=0.0005166890565257828, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(455)), {C=0.0005166890565257828, S=0.00048633401420095323}
