(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(3)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(6)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(8)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(10)), {C=0.001217391304347826, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(11)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(20)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(21)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(28)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(29)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(36)), {C=0.001565217391304348, S=0.0008754012255617158}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(40)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(41)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(42)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(53)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(60)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(66)), {C=0.0010434782608695651, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(80)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(84)), {C=0.0008695652173913044, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(marital_status(S)) --> (buy(89)), {C=0.0008695652173913044, S=0.00048633401420095323}
