(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(66)), {C=0.0009216589861751151, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(482)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(519)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(556)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(570)), {C=0.0007899934167215272, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(685)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(688)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(706)), {C=0.0007899934167215272, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(987)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(993)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1018)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1086)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1100)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1173)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1208)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1226)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1356)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1380)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1452)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1483)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(66)), {C=0.0009216589861751151, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(213)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(358)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(388)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(415)), {C=0.0007899934167215272, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(482)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(519)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(556)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(570)), {C=0.0007899934167215272, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(685)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(688)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(706)), {C=0.0007899934167215272, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(987)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(993)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1018)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1086)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1100)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1173)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1208)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1226)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1356)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1380)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1452)), {C=0.0006583278472679394, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School)) --> (buy(1483)), {C=0.0006583278472679394, S=0.00048633401420095323}
