(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(3)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(5)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(6)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(7)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(8)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(10)), {C=0.0009660798626019751, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(11)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(12)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(16)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(17)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(19)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(21)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(25)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(27)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(28)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(29)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(30)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(32)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(33)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(34)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(37)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(39)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(42)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(43)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(45)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(46)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(48)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(49)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(52)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(53)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(54)), {C=0.0016101331043366252, S=0.0014590020426028597}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(58)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(59)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(60)), {C=0.0008587376556462001, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(61)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(62)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(66)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(67)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(69)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(70)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(71)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(72)), {C=0.0009660798626019751, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(73)), {C=0.00064405324173465, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(74)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(78)), {C=0.00107342206955775, S=0.0009726680284019065}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(79)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(81)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(83)), {C=0.0007513954486904251, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(84)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(86)), {C=0.0016101331043366252, S=0.0014590020426028597}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(87)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(88)), {C=0.000536711034778875, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(Y)) --> (buy(90)), {C=0.0008587376556462001, S=0.0007781344227215252}
