(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(4)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(7)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(11)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(15)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(25)), {C=0.00065775049331287, S=0.0005836008170411438}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(27)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(35)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(109)), {C=0.0007673755755316816, S=0.0006808676198813345}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(127)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(136)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(175)), {C=0.0007673755755316816, S=0.0006808676198813345}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(226)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(261)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(271)), {C=0.0007673755755316816, S=0.0006808676198813345}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(275)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(306)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(344)), {C=0.0005481254110940583, S=0.00048633401420095323}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(364)), {C=0.00065775049331287, S=0.0005836008170411438}
(country(USA))(yearly_salary($110K - $130K))(house_owner(Y)) --> (buy(380)), {C=0.0005481254110940583, S=0.00048633401420095323}
