(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(7)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(10)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(15)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(21)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(22)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(24)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(26)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(30)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(31)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(34)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(37)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(41)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(45)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(49)), {C=0.0010180995475113123, S=0.0008754012255617158}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(53)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(54)), {C=0.0009049773755656109, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(58)), {C=0.0006787330316742081, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(59)), {C=0.0005656108597285068, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(61)), {C=0.0007918552036199094, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(house_owner(N)) --> (buy(62)), {C=0.0006787330316742081, S=0.0005836008170411438}
