(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(9)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(11)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(17)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(27)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(30)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(57)), {C=0.0007212033793529774, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(68)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(74)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(76)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(90)), {C=0.00082423243354626, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(95)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(112)), {C=0.0006181743251596949, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(115)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(126)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(127)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(132)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(138)), {C=0.0006181743251596949, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(139)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(145)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(154)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(173)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(180)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(193)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(254)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(256)), {C=0.0006181743251596949, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(283)), {C=0.0005151452709664126, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(education(Partial High School))(house_owner(N)) --> (buy(293)), {C=0.0005151452709664126, S=0.00048633401420095323}
