(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(1)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(2)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(4)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(6)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(7)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(9)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(10)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(11)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(12)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(13)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(17)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(18)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(19)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(21)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(22)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(23)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(24)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(26)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(27)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(28)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(29)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(30)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(31)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(33)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(34)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(35)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(36)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(37)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(38)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(39)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(40)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(41)), {C=0.0013576196402307953, S=0.0011672016340822876}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(42)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(43)), {C=0.0013576196402307953, S=0.0011672016340822876}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(44)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(45)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(47)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(48)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(49)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(50)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(52)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(53)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(54)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(55)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(56)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(58)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(59)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(60)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(61)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(62)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(63)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(64)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(65)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(66)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(67)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(68)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(70)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(71)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(73)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(74)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(75)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(76)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(77)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(78)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(79)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(80)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(81)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(82)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(84)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(87)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(88)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(89)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(90)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(91)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(92)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(93)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(95)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(96)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(97)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(98)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(99)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(100)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(101)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(102)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(103)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(104)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(106)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(107)), {C=0.0013576196402307953, S=0.0011672016340822876}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(109)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(110)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(111)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(112)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(113)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(114)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(115)), {C=0.0013576196402307953, S=0.0011672016340822876}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(116)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(118)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(119)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(120)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(121)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(122)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(123)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(124)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(125)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(126)), {C=0.0012444846702115624, S=0.001069934831242097}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(127)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(128)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(129)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(130)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(131)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(132)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(133)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(134)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(135)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(137)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(138)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(139)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(140)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(141)), {C=0.0009050797601538636, S=0.0007781344227215252}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(142)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(143)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(144)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(145)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(146)), {C=0.0011313497001923295, S=0.0009726680284019065}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(147)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(149)), {C=0.0006788098201153976, S=0.0005836008170411438}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(150)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(151)), {C=0.0007919447901346305, S=0.0006808676198813345}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(152)), {C=0.0005656748500961647, S=0.00048633401420095323}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(153)), {C=0.0010182147301730966, S=0.0008754012255617158}
(gender(Male))(member card(Bronze))(house_owner(N)) --> (buy(154)), {C=0.0011313497001923295, S=0.0009726680284019065}
