(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(17)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(22)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(29)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(41)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(42)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(53)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(56)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(59)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(67)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(86)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(96)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(103)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(106)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(107)), {C=0.0009408444078560508, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(108)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(111)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(116)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(123)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(124)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(130)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(133)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(134)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(142)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(151)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(156)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(162)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(174)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(179)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(180)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(201)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(212)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(225)), {C=0.0009408444078560508, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(255)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(265)), {C=0.000705633305892038, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(271)), {C=0.0008232388568740444, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(274)), {C=0.0009408444078560508, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(280)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(283)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(285)), {C=0.0005880277549100318, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(292)), {C=0.000705633305892038, S=0.0005836008170411438}
