(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(2)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(3)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(4)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(6)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(12)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(15)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(17)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(18)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(19)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(20)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(24)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(30)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(33)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(34)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(36)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(39)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(40)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(41)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(43)), {C=0.0012694748990190422, S=0.001069934831242097}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(44)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(46)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(47)), {C=0.0009232544720138489, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(48)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(52)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(53)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(55)), {C=0.0008078476630121176, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(58)), {C=0.00103866128101558, S=0.0008754012255617158}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(59)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(60)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(63)), {C=0.0006924408540103866, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(66)), {C=0.0005770340450086556, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Bronze))(marital_status(M)) --> (buy(67)), {C=0.0009232544720138489, S=0.0007781344227215252}
