(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(6)), {C=0.0008715862870424172, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(41)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(89)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(113)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(181)), {C=0.0011621150493898898, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(188)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(256)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(269)), {C=0.0011621150493898898, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(308)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(345)), {C=0.0008715862870424172, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(376)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(382)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(398)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(418)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0008715862870424172, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(482)), {C=0.0008715862870424172, S=0.0005836008170411438}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(489)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(490)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(542)), {C=0.0010168506682161533, S=0.0006808676198813345}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(560)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(600)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(606)), {C=0.0011621150493898898, S=0.0007781344227215252}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(734)), {C=0.0007263219058686811, S=0.00048633401420095323}
(yearly_salary($70K - $90K))(house_owner(N))(marital_status(S)) --> (buy(758)), {C=0.0008715862870424172, S=0.0005836008170411438}
