(gender(Female))(country(USA))(education(Partial College)) --> (buy(4)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(16)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(17)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(18)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(30)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(66)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(78)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(79)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(81)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(82)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(105)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(108)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(111)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(112)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(113)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(115)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(127)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(129)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(136)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(137)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(153)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(181)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(194)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(197)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(227)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(231)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(244)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(262)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(267)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(275)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(277)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(285)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(288)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(292)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(293)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(305)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(307)), {C=0.0008922596475574393, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(323)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(328)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(331)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(333)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(337)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(341)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(358)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(359)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(362)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(366)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(369)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(370)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(372)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(374)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(377)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(384)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(403)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(407)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(414)), {C=0.0008922596475574393, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(416)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(417)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(429)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(434)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(436)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(438)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(455)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(477)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(503)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(506)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(512)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(523)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(533)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(537)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(539)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(544)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(546)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(565)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(573)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(585)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(590)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(606)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(607)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(608)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(615)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(622)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(629)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(645)), {C=0.001003792103502119, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(648)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(652)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(659)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(660)), {C=0.001115324559446799, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(671)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(680)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(683)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(704)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(708)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(710)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(725)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(777)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(778)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(794)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(821)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(832)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(847)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(849)), {C=0.001003792103502119, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(860)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(868)), {C=0.0008922596475574393, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(882)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(898)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(903)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(909)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(910)), {C=0.0007807271916127592, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(914)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(915)), {C=0.001003792103502119, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(916)), {C=0.0008922596475574393, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(921)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(926)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(931)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(938)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(939)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(943)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(947)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(950)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(952)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(953)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(962)), {C=0.0006691947356680793, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(969)), {C=0.0008922596475574393, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(981)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(982)), {C=0.0005576622797233995, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Partial College)) --> (buy(983)), {C=0.0005576622797233995, S=0.00048633401420095323}
