(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(1)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(2)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(3)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(4)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(5)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(7)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(8)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(10)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(11)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(12)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(13)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(14)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(15)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(16)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(17)), {C=0.0010849517196484756, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(18)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(19)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(20)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(21)), {C=0.0015189324075078657, S=0.001361735239762669}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(22)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(24)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(25)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(26)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(27)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(28)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(29)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(30)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(31)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree)) --> (buy(32)), {C=0.0007594662037539329, S=0.0006808676198813345}
