(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(3)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(6)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(13)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(19)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(20)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(24)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(39)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(41)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(42)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(46)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(48)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(50)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(52)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(59)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(62)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(64)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(65)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(67)), {C=0.0009151223976206818, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(70)), {C=0.001029512697323267, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(76)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(81)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(89)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(90)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(96)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(104)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(106)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(113)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(115)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(125)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(132)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(135)), {C=0.0008007320979180964, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(143)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(146)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(152)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(153)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(156)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(158)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(159)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(164)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(166)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(173)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(179)), {C=0.0006863417982155113, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(180)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(185)), {C=0.0005719514985129262, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(191)), {C=0.0006863417982155113, S=0.0005836008170411438}
