(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(4)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(7)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(8)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(11)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(12)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(16)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(18)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(21)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(22)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(23)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(25)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(27)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(28)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(31)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(32)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(34)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(36)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(47)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(50)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(59)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(61)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(66)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(67)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(69)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(70)), {C=0.0011511453896627143, S=0.0009726680284019065}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(73)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(75)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(76)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(78)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(85)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(89)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(93)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(95)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(100)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(107)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(108)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(109)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(116)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(118)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(119)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(123)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(126)), {C=0.0008058017727638999, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(128)), {C=0.0009209163117301715, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(129)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(131)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(141)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(142)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(143)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(160)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(162)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(163)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(169)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(177)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(185)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(193)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(194)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(195)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(199)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(202)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(203)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(213)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(214)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(216)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(222)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(226)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(227)), {C=0.0005755726948313572, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(233)), {C=0.0006906872337976286, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(238)), {C=0.0005755726948313572, S=0.00048633401420095323}
