(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(11)), {C=0.001083570364350535, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(13)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(19)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(24)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(39)), {C=0.001083570364350535, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(43)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(47)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(59)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(62)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(65)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(76)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(81)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(83)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(84)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(88)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(89)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(96)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(125)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(132)), {C=0.001083570364350535, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(138)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(148)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(152)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(153)), {C=0.0009481240688067181, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(154)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(167)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(179)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(195)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(199)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(205)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(227)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(252)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(275)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(277)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(299)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(307)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(309)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(310)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(317)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(331)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(335)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(339)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(349)), {C=0.0014899092509819858, S=0.001069934831242097}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(354)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(355)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(363)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(372)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(379)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(380)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(383)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(384)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(387)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(394)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(397)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(399)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(400)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(414)), {C=0.0008126777732629012, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(415)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(419)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(432)), {C=0.0006772314777190845, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(434)), {C=0.0006772314777190845, S=0.00048633401420095323}
