(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(142)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(225)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(265)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(312)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(328)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(394)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(520)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(562)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(609)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(623)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(661)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(721)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(730)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(837)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(931)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1044)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1154)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1206)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1357)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1534)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1554)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(142)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(225)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(265)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(312)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(328)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(394)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(520)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(562)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(609)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(623)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(661)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(721)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(730)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(837)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(931)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1044)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1154)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1206)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1357)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1534)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1554)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(142)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(225)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(265)), {C=0.0006127450980392157, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(312)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(328)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(394)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(520)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(562)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(609)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(623)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(661)), {C=0.0005106209150326798, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(721)), {C=0.0006127450980392157, S=0.0005836008170411438}
