(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(35)), {C=0.0005705808513066302, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(107)), {C=0.0006846970215679561, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(108)), {C=0.0007988131918292822, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(180)), {C=0.0005705808513066302, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(185)), {C=0.0005705808513066302, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(368)), {C=0.0006846970215679561, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(386)), {C=0.0005705808513066302, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0007988131918292822, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(529)), {C=0.0005705808513066302, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(638)), {C=0.0005705808513066302, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(639)), {C=0.0006846970215679561, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(642)), {C=0.0006846970215679561, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(681)), {C=0.0006846970215679561, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(716)), {C=0.0005705808513066302, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(766)), {C=0.0005705808513066302, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(819)), {C=0.0006846970215679561, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(854)), {C=0.0005705808513066302, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(house_owner(N))(marital_status(S)) --> (buy(856)), {C=0.0005705808513066302, S=0.00048633401420095323}
