(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(38)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(74)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(107)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(108)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(153)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(158)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(181)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(201)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(229)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(243)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(258)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(262)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(289)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(310)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(328)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(334)), {C=0.0007373077733305245, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(335)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(357)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(361)), {C=0.0006319780914261639, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(372)), {C=0.0005266484095218033, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(381)), {C=0.0007373077733305245, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(390)), {C=0.0005266484095218033, S=0.00048633401420095323}
