(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(349)), {C=0.0007097951733928209, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(434)), {C=0.0005069965524234436, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(516)), {C=0.0007097951733928209, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(517)), {C=0.0005069965524234436, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(552)), {C=0.0005069965524234436, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(583)), {C=0.0005069965524234436, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(588)), {C=0.0006083958629081322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(725)), {C=0.0005069965524234436, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(895)), {C=0.0005069965524234436, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1044)), {C=0.0007097951733928209, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1046)), {C=0.0005069965524234436, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1056)), {C=0.0006083958629081322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1088)), {C=0.0005069965524234436, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1247)), {C=0.0005069965524234436, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1288)), {C=0.0005069965524234436, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1300)), {C=0.0005069965524234436, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1354)), {C=0.0005069965524234436, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1365)), {C=0.0006083958629081322, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1366)), {C=0.0005069965524234436, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(member card(Bronze)) --> (buy(1445)), {C=0.0005069965524234436, S=0.00048633401420095323}
