(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(66)), {C=0.0008506113769271665, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(213)), {C=0.000531632110579479, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(358)), {C=0.000531632110579479, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(376)), {C=0.000531632110579479, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(388)), {C=0.000531632110579479, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(415)), {C=0.0006379585326953748, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(482)), {C=0.000531632110579479, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(509)), {C=0.000531632110579479, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(519)), {C=0.000531632110579479, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(556)), {C=0.000531632110579479, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(570)), {C=0.0006379585326953748, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(572)), {C=0.000531632110579479, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(685)), {C=0.000531632110579479, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(688)), {C=0.000531632110579479, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(706)), {C=0.0006379585326953748, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(987)), {C=0.000531632110579479, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(993)), {C=0.000531632110579479, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(1015)), {C=0.000531632110579479, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal)) --> (buy(1018)), {C=0.000531632110579479, S=0.00048633401420095323}
