(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(7)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(12)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(21)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(27)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(31)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(34)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(50)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(59)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(61)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(66)), {C=0.002002002002002002, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(70)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(75)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(89)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(93)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(95)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(116)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(119)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(126)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(128)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(131)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(141)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(163)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(169)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(177)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(202)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(203)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(204)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(213)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(227)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(233)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(241)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(245)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(265)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(282)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(309)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(318)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(321)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(335)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(337)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(353)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(356)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(358)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(361)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(376)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(382)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(388)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(389)), {C=0.002002002002002002, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(393)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(400)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(404)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(412)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(414)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(415)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(430)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(437)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(469)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(474)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(477)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(482)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(487)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(489)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(500)), {C=0.002002002002002002, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(509)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(513)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(515)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(519)), {C=0.002002002002002002, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(529)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(530)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(532)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(535)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(537)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(549)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(556)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(564)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(570)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(572)), {C=0.0025025025025025025, S=0.0009726680284019065}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(580)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(583)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(584)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(593)), {C=0.0022522522522522522, S=0.0008754012255617158}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(598)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(607)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(611)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(617)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(618)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(650)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(663)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(671)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(673)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(681)), {C=0.0022522522522522522, S=0.0008754012255617158}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(682)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(685)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(687)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(688)), {C=0.0017517517517517515, S=0.0006808676198813345}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(689)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(690)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(693)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(696)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(706)), {C=0.002002002002002002, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(718)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(733)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(736)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(782)), {C=0.0015015015015015013, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(789)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(797)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(803)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(805)), {C=0.0022522522522522522, S=0.0008754012255617158}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(823)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(827)), {C=0.0012512512512512512, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(830)), {C=0.0012512512512512512, S=0.00048633401420095323}
