(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(8)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(11)), {C=0.002075119319360863, S=0.0009726680284019065}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(13)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(19)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(21)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(24)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(26)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(30)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(37)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(38)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(39)), {C=0.001867607387424777, S=0.0008754012255617158}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(41)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(43)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(47)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(48)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(59)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(62)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(65)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(66)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(70)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(76)), {C=0.0016600954554886907, S=0.0007781344227215252}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(81)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(82)), {C=0.0010375596596804316, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(83)), {C=0.0012450715916165179, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(84)), {C=0.0014525835235526042, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(86)), {C=0.0010375596596804316, S=0.00048633401420095323}
