(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(53)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(78)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(106)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(174)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(181)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(235)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(238)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(265)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(334)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(353)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(384)), {C=0.0008657071745482091, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(390)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(405)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(408)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(410)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(412)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(416)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(418)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(424)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(438)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(440)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(443)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(460)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(499)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(501)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(505)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(531)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(532)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(535)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(548)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(551)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(562)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(584)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(594)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(615)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(652)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(653)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(661)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(683)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(708)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(712)), {C=0.0007574937777296829, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(775)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(793)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(818)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(820)), {C=0.0007574937777296829, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(841)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(844)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(847)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(865)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(868)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(882)), {C=0.0006492803809111567, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(885)), {C=0.0005410669840926307, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(891)), {C=0.0005410669840926307, S=0.00048633401420095323}
