(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(6)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(7)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(10)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(29)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(30)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(35)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(37)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(39)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(41)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(45)), {C=0.0007594662037539329, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(49)), {C=0.0008679613757187805, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(52)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(53)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(54)), {C=0.000976456547683628, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(58)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(61)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(66)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(69)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(70)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(72)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(80)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(82)), {C=0.0005424758598242378, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(86)), {C=0.0006509710317890853, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree)) --> (buy(87)), {C=0.0005424758598242378, S=0.00048633401420095323}
