(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(66)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(108)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(112)), {C=0.0006420545746388443, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(115)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(194)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(267)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(328)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(331)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(337)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(358)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(455)), {C=0.0007490636704119849, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(503)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(537)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(539)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(565)), {C=0.0006420545746388443, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(615)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(645)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(660)), {C=0.0006420545746388443, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(710)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(821)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(849)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(868)), {C=0.0007490636704119849, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(910)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(914)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(915)), {C=0.0006420545746388443, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(916)), {C=0.0007490636704119849, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(938)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(953)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(969)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1002)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1029)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1046)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1077)), {C=0.0006420545746388443, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1085)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1122)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1134)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1190)), {C=0.0006420545746388443, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1196)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1311)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1330)), {C=0.0006420545746388443, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1408)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1425)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1445)), {C=0.0006420545746388443, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1446)), {C=0.0007490636704119849, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1504)), {C=0.0005350454788657037, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(Partial College)) --> (buy(1523)), {C=0.0005350454788657037, S=0.00048633401420095323}
