(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(2)), {C=0.0009535918626827718, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(3)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(6)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(8)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(10)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(11)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(12)), {C=0.0010595465140919686, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(13)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(16)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(17)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(19)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(20)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(21)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(23)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(24)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(25)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(26)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(29)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(30)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(31)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(33)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(34)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(35)), {C=0.000847637211273575, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(36)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(38)), {C=0.0010595465140919686, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(39)), {C=0.0011655011655011655, S=0.001069934831242097}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(40)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(42)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(43)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(44)), {C=0.0006357279084551811, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(45)), {C=0.000741682559864378, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(46)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(47)), {C=0.0005297732570459843, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(48)), {C=0.0006357279084551811, S=0.0005836008170411438}
