(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(40)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(43)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(45)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(85)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(106)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(119)), {C=0.0008771929824561404, S=0.0007781344227215252}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(161)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(191)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(214)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(264)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(357)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(370)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(391)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(409)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(463)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(543)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(546)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(569)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(599)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(614)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(640)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(653)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(663)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(704)), {C=0.0007675438596491227, S=0.0006808676198813345}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(706)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(717)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(735)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(752)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(776)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(783)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(821)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(823)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(835)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(842)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(869)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(900)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(903)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(939)), {C=0.0008771929824561404, S=0.0007781344227215252}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(946)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(949)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1000)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1011)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1057)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1080)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1111)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1117)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1122)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1142)), {C=0.0005482456140350877, S=0.00048633401420095323}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1161)), {C=0.0006578947368421052, S=0.0005836008170411438}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1212)), {C=0.0007675438596491227, S=0.0006808676198813345}
(country(USA))(yearly_salary($90K - $110K))(house_owner(Y)) --> (buy(1255)), {C=0.0005482456140350877, S=0.00048633401420095323}
