(country(USA))(buy(982)) --> (buy(25)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(982)) --> (buy(83)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(982)) --> (buy(184)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(982)) --> (buy(246)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(982)) --> (buy(414)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(982)) --> (buy(483)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(982)) --> (buy(549)), {C=0.0009512161978529692, S=0.0006808676198813345}
(country(USA))(buy(982)) --> (buy(590)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(982)) --> (buy(600)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(982)) --> (buy(883)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(982)) --> (buy(905)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(982)) --> (buy(933)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(982)) --> (buy(988)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(982)) --> (buy(1132)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(982)) --> (buy(1133)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(982)) --> (buy(1425)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(982)) --> (buy(1431)), {C=0.0008153281695882593, S=0.0005836008170411438}
