(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(21)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(24)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(66)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(90)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(131)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(153)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(194)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(234)), {C=0.0008071025020177563, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(238)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(258)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(260)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(297)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(300)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(344)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(394)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(407)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(420)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(458)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(510)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(527)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(565)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(575)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(615)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(628)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(690)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(708)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(724)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(732)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(750)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(778)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(840)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(882)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(888)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(900)), {C=0.0007062146892655366, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(909)), {C=0.0009079903147699758, S=0.0008754012255617158}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(915)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(942)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(948)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(969)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(972)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1012)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1021)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1048)), {C=0.0009079903147699758, S=0.0008754012255617158}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1056)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1082)), {C=0.0007062146892655366, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1088)), {C=0.0006053268765133171, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1092)), {C=0.0005044390637610976, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1106)), {C=0.0005044390637610976, S=0.00048633401420095323}
