(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(2)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(13)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(21)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(22)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(24)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(26)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(27)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(28)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(30)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(33)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(34)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(35)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(37)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(38)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(39)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(41)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(42)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(43)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(44)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(45)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(48)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(49)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(50)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(52)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(54)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(55)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(56)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(58)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(61)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(62)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(63)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(64)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(65)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(67)), {C=0.0008996401439424231, S=0.0008754012255617158}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(68)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(70)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(73)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(74)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(78)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(79)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(81)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(84)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(87)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(88)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(89)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(90)), {C=0.0007996801279488206, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(95)), {C=0.0005997600959616154, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(96)), {C=0.0009996001599360256, S=0.0009726680284019065}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(97)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(101)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(102)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(104)), {C=0.0006997201119552179, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(106)), {C=0.0004998000799680128, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(107)), {C=0.0009996001599360256, S=0.0009726680284019065}
(gender(Male))(country(USA))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(112)), {C=0.0005997600959616154, S=0.0005836008170411438}
