(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(30)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(76)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(77)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(84)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(86)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(90)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(112)), {C=0.0007108042242079609, S=0.0006808676198813345}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(127)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(193)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(254)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(283)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(322)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(337)), {C=0.0006092607636068236, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(384)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(400)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(404)), {C=0.0006092607636068236, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(413)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(419)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(420)), {C=0.0006092607636068236, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0006092607636068236, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(486)), {C=0.0006092607636068236, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(536)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(550)), {C=0.0006092607636068236, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(606)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(673)), {C=0.0008123476848090984, S=0.0007781344227215252}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(681)), {C=0.0006092607636068236, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(689)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(722)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(757)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(774)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(813)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(814)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(846)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(852)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(856)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(865)), {C=0.0006092607636068236, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(875)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(909)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(949)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(966)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(978)), {C=0.0006092607636068236, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(992)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1000)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1015)), {C=0.0006092607636068236, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1129)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1146)), {C=0.0006092607636068236, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1152)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1182)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1200)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1326)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1328)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1339)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1341)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1363)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1399)), {C=0.0006092607636068236, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1401)), {C=0.0006092607636068236, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1405)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1425)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1456)), {C=0.0006092607636068236, S=0.0005836008170411438}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1457)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1479)), {C=0.0005077173030056864, S=0.00048633401420095323}
(gender(Male))(country(USA))(member card(Normal))(house_owner(N))(marital_status(S)) --> (buy(1485)), {C=0.0005077173030056864, S=0.00048633401420095323}
