(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(3)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(7)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(8)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(10)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(11)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(17)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(19)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(21)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(22)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(24)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(29)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(34)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(41)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(42)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(44)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(46)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(48)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(49)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(53)), {C=0.0008799912000879992, S=0.0007781344227215252}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(54)), {C=0.0014299857001429986, S=0.0012644684369224784}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(59)), {C=0.0006599934000659993, S=0.0005836008170411438}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(61)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(62)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(66)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(67)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(69)), {C=0.0007699923000769992, S=0.0006808676198813345}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(70)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(72)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(73)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(74)), {C=0.0005499945000549995, S=0.00048633401420095323}
(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(78)), {C=0.0007699923000769992, S=0.0006808676198813345}
